,CMPD_CHEMBLID,exp,smiles
859,CHEMBL1499,1.4,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
860,CHEMBL393501,3.8,CN1:C(N):N:C(CCC2:C:C:C:C(C3:C:C:C:C:C:3):C:2):C:C:1=O
861,CHEMBL1222443,2.07,CC1:C:C2:N:[NH]:C(=O):N:2:C2:C:C(C3:C:C:C:O:3):C:C:C:1:2
862,CHEMBL2335904,3.2,C[C@@H](NC1=CC(=O)CC1)C1:C:C:C(NC2:N:C:C3:C:C(C4:C:C:N:C:C:4):C:C:C:3:N:2):C:C:1
863,CHEMBL2153173,3.24,CCCSC1:N:C:C:C:C:1C(=O)NC1CCCCC1
864,CHEMBL1916283,1.2,CC1:C:C:C(S(=O)(=O)NC2:C(C(=O)N[C@H](C)C(C)(C)C):C(C):N:N:2C2:C:C:C:C:C:2):C:C:1
865,CHEMBL184271,3.19,COC1:C:C2:N:C:N:C(NC3:C:C(NC(=O)C4:C:C:N:C(N5CCOCC5):C:4):C:C:C:3C):C:2:C:C:1OCCN1CCOCC1
866,CHEMBL2164744,0.77,COC1:C:C:C2:N:C:C(=O):N(CCN3CC[C@H](NCC4:C:C5:C(:C:N:4)OCCO5)[C@H](O)C3):C:2:C:1
867,CHEMBL1940279,3.88,O=C(NCC1:C:C:N:C2:C:C:C:C:C:1:2)C1:C:C:C(OC2:C:C:C(C#C[C@]3(O)CN4CCC3CC4):C:C:2):C:C:1
868,CHEMBL631,1.72,CCCNCC(O)COC1:C:C:C:C:C:1C(=O)CCC1:C:C:C:C:C:1
869,CHEMBL1303766,-0.2,CCN(CC)C1:C:C:C2:C:C(C(=O)O):C(=O):O:C:2:C:1
870,CHEMBL2036782,2.21,CC(C)N1CCN[C@@H](C(=O)N2CCN(C(=O)NC3:C:C:C(Cl):C(Cl):C:3)CC2)C1
871,CHEMBL20210,2.8,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)C1:C:C(C):O:N:1)C(C)C)CC1:C:C:C(F):C:C:1
872,CHEMBL2336331,3.75,C[C@H]1CN(C2:N:C(N3CCOC[C@@H]3C):C3:C:C:C(C4:C:C:C:C:C:4):N:C:3:N:2)C[C@@H](C)O1
873,CHEMBL277474,0.11,CC1:C:C(=O):N(C2:C:C:C:C:C:2):N:1C
874,CHEMBL2179668,-1.03,CC1:C:N([C@H]2CCCN(CC3:C:C:C(C(=O)O):C(OC4:C:C:C:C(F):C:4):C:3)C2):C(=O):[NH]:C:1=O
875,CHEMBL1349,-1.3,CC(C)[C@H](N)C(=O)OCCOCN1:C:N:C2:C(=O):N:C(N):[NH]:C:2:1
876,CHEMBL1949685,1.65,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCC2:C:C:C:C:C:2)C1)C1CCCCC1
877,CHEMBL2011908,2.88,CNC1:C(Br):C:N:C2:[NH]:C(C3:C:C:C(S(C)(=O)=O):C:C:3):N:C:1:2
878,CHEMBL392559,1.45,O=C(NCC12CC3CC(CC(C3)C1)C2)C1:C:C(CN2C[C@@H]3C[C@H]2CN3):C:C:C:1Cl
879,CHEMBL760,1.86,O=C1CN2CC3:C(:C:C:C(Cl):C:3Cl)N=C2N1
880,CHEMBL2158834,1.71,O=C(O)C1:C:C:C:N:C:1N1CCC(CN2CCC(OC3:C:C:C(Cl):C(Cl):C:3)CC2)CC1
881,CHEMBL1385161,-0.2,CC(=O)NC1:N:C(N):N(C2:C:C:C:C:C:2):N:1
882,CHEMBL452861,0.99,CC(C)NC[C@H](O)COC1:C:C:C:C2:C:C:C:C:C:1:2
883,CHEMBL324343,1.14,CC(C)C(NC(=O)CN1:C(C2:C:C:C:C:C:2):C:C:C(NC(=O)CC2:C:C:C:C:C:2C(=O)O):C:1=O)C(=O)C(F)(F)F
884,CHEMBL379350,2.0,CCN(CC)C1:C:C:C2:C:C(C(C)=O):C(=O):O:C:2:C:1
885,CHEMBL1468936,3.8,CCOC(=O)C1:C(C2:C:C:C:C:C:2):N:C2:C:C(C):C:C:N:1:2
886,CHEMBL1778627,-0.81,CN(C1:C:C:C(C2:C:C(C(F)(F)F):C:C:C:2OCC(=O)O):C:C:1)S(C)(=O)=O
887,CHEMBL1762521,3.47,CN(C1:C:C:C:C:C:1)C1:C:C:N:C(NC2:C:C(N3CCOCC3):C:C(N3CCOCC3):C:2):N:1
888,CHEMBL2170985,0.9,NC1:N:C:N:C2:C:1:N:C:N:2[C@@H]1O[C@H](CSCCCNC(=O)NCC2:C:C:C:C:C:2)[C@@H](O)[C@H]1O
889,CHEMBL91428,3.9,COC1:C:C2:N:C:N:C(NC3:C:C4:C:C:C:C:C:4:C:N:3):C:2:C:C:1OC
890,CHEMBL567175,2.7,OC1:C:C:C2:C3:C:1O[C@H]1C4:[NH]:C5:C:C:C:C:C:5:C:4C[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314
891,CHEMBL1916083,-0.54,CNC(=O)C1:C:N:N(C2:C:C:C:C:C:2):C:1NS(=O)(=O)C1:C:C:C(C):C:C:1
892,CHEMBL2335865,3.56,COCCNC(=O)C1:C:C:C(NC2:N:C:C3:C:C(C4:C:C:N:C(C):C:4):C:C:C:3:N:2):C:C:1
893,CHEMBL384536,2.04,CC(C)CN1:C(=O):N(C):C(=O):C2:C(C(=O)N3C[C@H](O)CO3):C(CC3:C:[NH]:C4:N:C:C:C:C:3:4):S:C:2:1
894,CHEMBL313907,1.25,O=S(=O)(NC1:N:C(C2:C:C:C:C:C:2):N:N:1CC1:C:C:C:C:C:1)C1:C:C:C:C:C:1
895,CHEMBL2059910,1.58,CNC(=O)NC1:N:C2:C:C:C(C3:C:N:C:C(S(=O)(=O)NC(C)(C)C):C:3):C:N:2:N:1
896,CHEMBL1809062,3.2,COC1:C:C(N2CCN(CCO)CC2):C:C:C:1NC1:N:C:C(Cl):C(C2:C:N:C3:C:C:C:C:N:2:3):N:1
897,CHEMBL2035039,1.6,NC1(C2:C:C:C(N3:C(C4:C:C:C:C:C:4):N:C4:C:C:C:C:C:4:C:3=O):C:C:2)CCC1
898,CHEMBL1824040,0.37,CC(=O)C1:C:C:C2:C(:C:1)N(CCN1CCC(NCC3:C:C:C4:C(:N:3)NC(=O)CO4)CC1)C(=O)CO2
899,CHEMBL569,0.0,CCN(CC)CCOC(=O)C1:C:C:C(N):C:C:1
900,CHEMBL515839,2.82,CC1:N:C:C(C2:C:C:N:C(NC3:C:C:C(S(=O)(=O)CC4CCCO4):C:C:3):N:2):N:1C(C)C
901,CHEMBL2207655,2.54,CC1(O)CN(S(=O)(=O)C2:C:C:C3:C(C(=O)NC[C@@H](O)CN4CCC(OC5:C:C:C(Cl):C(Cl):C:5)CC4):C:[NH]:C(=O):C:3:C:2)C1
902,CHEMBL789,0.97,NC(CC1:C:C(I):C(OC2:C:C:C(O):C(I):C:2):C(I):C:1)C(=O)O
903,CHEMBL51931,2.6,O=C1C(=O)C2:C:C:C:C:C:2C2:C:C:C:C:C:21
904,CHEMBL235789,1.84,O=C(NCC12CC3CC(CC(C3)C1)C2)C1:C:C(CN2CCNCC2):C:C:C:1Cl
905,CHEMBL443684,0.64,CC1(C)CCC(C2:C:C:C(Cl):C:C:2)=C(CN2CCN(C3:C:C:C(C(=O)NS(=O)(=O)C4:C:C:C(N[C@H](CCN5CCOCC5)CSC5:C:C:C:C:C:5):C(S(=O)(=O)C(F)(F)F):C:4):C:C:3)CC2)C1
906,CHEMBL273235,2.4,FC1:C:C:C(N2:C:C(C3CCNCC3):C3:C:C(Cl):C:C:C:3:2):C:C:1
907,CHEMBL1270671,3.52,CS(=O)(=O)C1:C:C:C:C(NC2:N:C:C:C(NC3:C:C:C:C4:C:C:O:C:3:4):N:2):C:1
908,CHEMBL2152906,4.4,CC#CC1:C:C:N:C(C2:C:C:C:C([C@@]3(C4:C:C(C):C(=O):N(CC):C:4)N=C(N)C4:C(F):C:C:C:C:43):C:2):C:1
909,CHEMBL11336,1.82,COC(=O)NC1:C:N:C(C2:C:C:C(F):C:C:2):N(CC(=O)NC(C(=O)C(F)(F)F)C(C)C):C:1=O
910,CHEMBL2315158,1.9,CCCCNC1:N:C(N):C2:[NH]:C(=O):N(CC3:C:C:C(OCCN(C)C):N:C:3):C:2:N:1
911,CHEMBL1762,-0.15,CC1:C:C:C:C(C):C:1NC(=O)C(C)N
912,CHEMBL550777,1.19,NC1CCN(C2:N:C:C:C(C(=O)NCC34CC5CC(CC(C5)C3)C4):C:2Cl)CC1
913,CHEMBL1163879,2.92,COC1:C:C:C(C(=O)N2CCC(C(=O)C3:C:C:C(F):C:C:3)CC2):C:C:1
914,CHEMBL554169,1.02,CC1:C:C:C(OC(=O)N2CCN3CCC2CC3):C:C:1
915,CHEMBL2062564,3.44,CC(=O)NC1:C:C:C2:C:N:N(C3:C:C(NC4CC4):N4:N:C:C(C#N):C:4:N:3):C:2:C:1
916,CHEMBL561339,0.77,CCN(CC)C(=O)C1:C:C:C(C2=CC3(CCNCC3)OC3:C:C:C:C:C:32):C(O):C:1
917,CHEMBL1682810,3.8,CN1CCOC2:N:C(C#CC3:C:C:C:C:C:3):C:C:C:21
918,CHEMBL1536083,4.03,CCOC(=O)CN(C1:C:C:C:C:C:1C)S(=O)(=O)C1:C:C:C(Cl):C:C:1
919,CHEMBL1950730,1.32,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(C(=O)CC2:C:C:C:C:C:2)C1)C1CCCCC1
920,CHEMBL60066,1.38,O=C(NC1:C:C:C(F):C:C:1)C1:C:C:C(Cl):[N+]([O-]):C:1
921,CHEMBL1927039,3.01,N#CC1:C:C:C(NC2:N:C:C:C(NC3CC3):N:2):C:C:1
922,CHEMBL403813,1.22,N#CC1:C:C(CN2CCC2):C:N:C:1C1:C:C:C(C(=O)NC2:C:C:C:C:C:2N):C:C:1
923,CHEMBL2086688,2.3,C[C@@H]1CN(C(=O)OCC(F)F)CCN1C1:N:C:C(OCC2:C:C:N:C:C:2C#N):C:N:1
924,CHEMBL430507,2.4,CN(C)CC(O)COC1:C:C:C(NC2:N:C:C:C(N(CC#N)C3:C:C(Cl):C:C:C:3Cl):N:2):C:C:1
925,CHEMBL1762536,3.8,CC1:C:C:C(CO):C:C:1N(C)C1:C:C:N:C(NC2:C:C(N3CCCC3):C:C(N3CCOCC3):C:2):N:1
926,CHEMBL87277,3.97,CN1:N:C(C(C)(C)C):C:C:1NC(=O)NC1:C:C:C(Cl):C:C:1
927,CHEMBL878,1.64,CC1:C:C:C:C:C:1N1C(=O)C2:C:C(S(N)(=O)=O):C(Cl):C:C:2NC1C
928,CHEMBL499864,2.94,CN1:C:N:C(C2:C:C:C:C:C:2):C:1C#CC1:C:C:N:C(N):N:1
929,CHEMBL1610495,3.1,CNC(=O)C1:C:C(C(=O)C2:C:C:C(Cl):C:C:2):C(Br):[NH]:1
930,CHEMBL2325622,1.0,CN1CC(N2:N:C:C:C:2C2:C:C(Cl):C:C:C:2OC2:C:C(F):C(S(=O)(=O)NC3:N:C:N:S:3):C:C:2F)C1
931,CHEMBL1081627,4.1,N#CC1:C:C:C(C2:C:S:C(NC3:C:C:C(O):C:C:3):N:2):C:C:1
932,CHEMBL198497,2.09,CCN(C(=O)CC1:C:C:C(S(C)(=O)=O):C:C:1)C1CCN(CCC(C2:C:C:C:C:C:2)C2:C:C:C(NC(C)=O):C:C:2)CC1
933,CHEMBL453261,2.74,CC1:C:C:C(S(=O)(=O)C2:C:C:C:C:C:2):C:C:1
934,CHEMBL2325987,2.4,CC(NC(=O)C1(N)CCN(C2:N:C:N:C3:[NH]:C:C:C:2:3)CC1)C1:C:C:C(F):C:C:1
935,CHEMBL518760,2.52,COC1:C:C2:N:C:C(C(N)=O):C(NC3:C:C:C(F):C:C:3F):C:2:C:C:1NCCN1CCCCC1
936,CHEMBL1917444,1.01,COC1:C:C:C(SC2:C(C):N(CC(=O)O):C3:C:C:C(C):C:C:2:3):C:C:1
937,CHEMBL1916281,1.21,CC1:C:C:C(S(=O)(=O)NC2:C(C(=O)NC(C)C(C)(C)C):C(C):N:N:2C2:C:C:C:C:C:2):C:C:1
938,CHEMBL1917418,2.18,CC1:C:C:C2:C(:C:1):C(SC1:C:C:C(Cl):C:C:1):C(C):N:2CC(=O)O
939,CHEMBL556667,3.4,O=C(NC1:C:C:C:C(Cl):C:1)C1:C:C:C:C:N:1
940,CHEMBL1481,1.73,CCC1=C(C)CN(C(=O)NCCC2:C:C:C(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3):C:C:2)C1=O
941,CHEMBL1938681,3.0,O=C(C1:C:C:C(C2:C:C:C(Cl):C:C:2):O:1)N(CC1:C:C:C:C:N:1)C1:C:C:C(N2CCNCC2):C:C:1
942,CHEMBL559696,2.18,O=C1:[NH]:C:N:C2:S:C:C(C3:C:C:C:S:3):C:1:2
943,CHEMBL2087853,4.02,CC(C)N1:C(=O):C2:C(C3:C:N:C:N:3C):N(CC3:C:C:N:C4:C:C:C(Cl):C:C:3:4):N:C:2:N(CC2CC2):C:1=O
944,CHEMBL567,3.6,OCCN1CCN(CCCN2C3:C:C:C:C:C:3SC3:C:C:C(Cl):C:C:32)CC1
945,CHEMBL2071095,1.4,N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(C3:N:C4:N:C:C:C:C:4:S:3)CC2)CC1
946,CHEMBL256711,2.3,NC1:C:C:C:C:C:1NC(=O)C1:C:C:C(C2:N:C:C:S:2):C:C:1
947,CHEMBL1682830,3.7,CCN1CCOC2:C:C(COC3:C:C:C:C:C:3):C:N:C:21
948,CHEMBL1649771,1.39,NC1:N:C:C(C2:C:C:C(F):C:C:2):[NH]:1
949,CHEMBL402553,2.87,ClC1:C:C(NC2:N:C:N:C3:[NH]:N:C(OCCN4CCCC4):C:2:3):C:C:C:1OCC1:C:C:C:C:N:1
950,CHEMBL1645105,3.2,COC1:C:C:C(C2:C:C:C3:N:C(N):S:C:3:C:2):C:N:1
951,CHEMBL2023704,2.08,COC1:C:C:C(C2:C:C:N:C(N):N:2):C:C:1
952,CHEMBL2164682,2.66,N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCC3:[NH]:C4:C:C:C:C:C:4:C:3C2)CC1
953,CHEMBL1734492,3.3,NC(=O)NC(=O)C(NC1:C:C:C2:C(:C:1)CCC2)C1:C:C:C:C:C:1
954,CHEMBL1683038,2.35,COC1:C:C2:N:N:C(C(N)=O):C(NC3:C:C:C:C(Cl):C:3F):C:2:C:C:1N1CCN(C)CC1
955,CHEMBL2030443,1.0,CS(=O)(=O)CC1:C:C(N2CCOCC2):N:C(C2:C:C:C:C(CO):C:2):N:1
956,CHEMBL213495,0.52,CC1:C:C:C2:C(:C:1):C(C1:C:C:N:C3:C(C#N):C:C:C:C:1:3):C(C):N:2CC(=O)O
957,CHEMBL1483,3.24,CCCSC1:C:C:C2:N:C(NC(=O)OC):[NH]:C:2:C:1
958,CHEMBL565755,2.4,CCOC1:C:C:C2:N:C(N):S:C:2:C:1
959,CHEMBL1644358,2.78,C1:C:C:C(NC2:C:C:N:C3:C:C:C:C:C:2:3):C:C:1
960,CHEMBL284237,1.6,C[C@]12N[C@H](CC3:C:C:C:C:C:31)C1:C:C:C:C:C:12
961,CHEMBL79537,1.93,COC1:C:C(C(=O)NS(=O)(=O)C2:C:C:C:C:C:2):C:C:C:1CN1:C:C:C2:C:C:C(C(=O)NCC3CCCC3):C:C:2:1
962,CHEMBL274642,2.55,NC1=NN(C2:C:C:C:C(C(F)(F)F):C:2)CC1
963,CHEMBL1807872,-0.03,O=C1:[NH]:C2:C(O):C:C:C([C@@H](O)CNCCCOCCNCCC3:C:C:C:C(Cl):C:3):C:2:S:1
964,CHEMBL2036737,2.96,CC(C)(C(=O)NC1:N:N:C(C(=O)NC2:C:C:C(N3CCOCC3):C:C:2):O:1)C1:C:C:C(Cl):C:C:1
965,CHEMBL1347379,3.79,CC1:C:C:C(C(=O)N2CCC(C(=O)C3:C:C:C(Cl):C:C:3)CC2):C:C:1
966,CHEMBL72683,2.5,C1:C:C:C(C2:N:C3:C:C:C:C:C:3:[NH]:2):N:C:1
967,CHEMBL1946017,3.65,CCN(CC)C(=O)C1:C:C:C(C(=C2CCN(CC3:C:C:C(F):C:C:3)CC2)C2:C:C:C:N:C:2):C:C:1
968,CHEMBL1083642,1.38,O=C(O)CO[C@@H]1C2:C:C:C:C:C:2C[C@H]1NC(=O)C1:C:C2:S:C(Cl):C(Cl):C:2:[NH]:1
969,CHEMBL2088259,3.5,COC1:C:C(CCC2:C:C(NC3:C:C:N:C(NCC4:C:C:C:C:N:4):N:3):N:[NH]:2):C:C(OC):C:1
970,CHEMBL202314,-0.04,O=C(NS(=O)(=O)C1:C:C:C(NCCSC2:C:C:C:C:C:2):C([N+](=O)[O-]):C:1)C1:C:C:C(N2CCNCC2):C:C:1
971,CHEMBL2152074,1.54,NC1:N:C(NC2:C:C:C3:N:C(C4:C:C:C(F):C:C:4):C:C(N):C:3:C:2):C:C(C2:C:C:C(C(F)(F)F):C:C:2):N:1
972,CHEMBL499520,3.19,O=C(NC1:N:C:C(F):S:1)[C@H](CC1CCOCC1)C1:C:C:C(S(=O)(=O)C2CC2):C:C:1
973,CHEMBL1229059,1.28,N=C(N)SCC1:C:C:C(Cl):C(Cl):C:1
974,CHEMBL1444,1.7,N#CC1:C:C:C(C(C2:C:C:C(C#N):C:C:2)N2:C:N:C:N:2):C:C:1
975,CHEMBL218713,3.6,CC1:C:C:C(COC(=O)N2CCC(CNC3:N:C:C:C:N:3)CC2):C:C:1
976,CHEMBL205627,1.5,COC[C@H](C)OC1:C:C(O[C@@H](C)CC2:C:C:C:C:C:2):C:C(C(=O)NC2:C:C:C(C(=O)O):C:N:2):C:1
977,CHEMBL1871428,0.82,OC1:N:C:C(NCC2:C:C:C:C:C:2):C(O):N:1
978,CHEMBL1340633,1.8,COC1:C:C(C2:C:C:C(NC3:C:C:C:C:C:3C(=O)O):C(OC):C:2):C:C:C:1NC1:C:C:C:C:C:1C(=O)O
979,CHEMBL8953,3.38,COC1:C:C(C(=O)C2:C:C(Cl):C:C:C:2N):C:C(OC):C:1OC
980,CHEMBL257176,1.58,N#CC1:C:C:C:N:C:1C1:C:C:C(C(=O)NC2:C:C:C:C:C:2N):C:C:1
981,CHEMBL95925,2.88,CN(C)CC1CCN2:C(:C(C3=C(C4:C:N(C):C5:C:C:C:C:C:4:5)C(=O)NC3=O):C3:C:C:C:C:C:3:2)C1
982,CHEMBL1070,3.06,COC1:C:C:C2:C:C(CCC(C)=O):C:C:C:2:C:1
983,CHEMBL2169908,2.67,CC1:N:O:C2:C:C(N3CCN(C(=O)[C@@H]4CCCC[C@H]4C(=O)NC4(C#N)CC4)[C@H](C)C3):C:C:C:1:2
984,CHEMBL1950721,1.49,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCN(CC2:C:C:C:C:C:2)C1)C1CCCCC1
985,CHEMBL333685,1.5,O=C(NC1:C:C:C(O):C:C:1)C1:C:C:C(O):C:C:1
986,CHEMBL33227,3.58,COC(=O)[C@H](CC1:C:C:C([N+](=O)[O-]):C:C:1)NC(=O)C1:C:C:C:C2:C:C:C:C:C:1:2
987,CHEMBL1706173,2.87,COC1:C:C(C(=O)NC2CCN(C)CC2):C:C:C:1NC1:N:C:C2:C(:N:1)N(C1CCCCC1)CCC(=O)N2C
988,CHEMBL488084,2.39,CC1:N:C:C(C2:C:C:N:C(NC3:C:C:C(C(N)=O):C:C:3):N:2):N:1C(C)C
989,CHEMBL1535688,-0.84,CC1:C:C:C(OCC(=O)O):C(N2:N:C3:C:C:C:C:C:3:N:2):C:1
990,CHEMBL1231206,3.6,CC1:C:C:C(C2:C:C:C3:C(:C:C:C4:S:C5:C(:C:4:3)NC[C@@H](C)NC5=O):N:2):C:N:1
991,CHEMBL1718949,3.7,CC1:[NH]:C2:N:C(NCC3:C:C:C(Cl):C:C:3):N:N:2:C(=O):C:1CC1:C:C:C:C:C:1
992,CHEMBL1824043,0.9,O=C1COC2:C:C:C(CNC3CCN(CCN4C(=O)COC5:C:C:C(F):C:C:54)CC3):N:C:2N1
993,CHEMBL38688,3.2,C1:C:C:C(NC2:C:C:C:C:C:2):C:C:1
994,CHEMBL1770475,4.24,CSCCC(NC(=O)C1:C:C:C:C:C:1)C1:N:C2:C:C:C:C:C:2:N:1CC1:C:C:C(C#N):C:C:1
995,CHEMBL2086684,3.33,C[C@@H]1CN(C(=O)OC(C)(C)C)CCN1C1:N:C:C(OCC2:C:C:N:C:C:2C#N):C:N:1
996,CHEMBL122617,2.5,OC1:C:C:C:C2:C:C:C:C:C:1:2
997,CHEMBL1513816,3.14,CCN1CCN(C(=O)C2:C:C3:C:C(Cl):C:C:C:3:[NH]:2)CC1
998,CHEMBL2326624,1.61,COC1:C:C:C:C2:C:1:C(NS(=O)(=O)C1:C:C:C(Cl):S:1):N:N:2CC1:C:C:C:C(CNC(=O)[C@@H]2COCCN2):C:1
999,CHEMBL340450,1.66,COC1:C:C:C2:C(:C:1):C:C(C(=O)O):N:2CC1:C:C:C(Cl):C(Cl):C:1
1000,CHEMBL1223873,1.61,NC(=O)C1:C:C:C:C(O[C@@H]2C[C@@H]3CC[C@H](C2)N3CC2:C:C:C:C:C:2):C:1
1001,CHEMBL1242565,1.66,C[C@H](N)C(=O)N[C@H](/C=C/S(=O)(=O)C1:C:C:C:C:C:1)CCC1:C:C:C:C:C:1
1002,CHEMBL2031168,0.07,CN1CCNC2:N:C(CCOC3:C:C:C(C[C@H](NC(=O)C4:C(Cl):C:C:C:C:4Cl)C(=O)O):C:C:3):C:C:C:21
1003,CHEMBL1405928,3.22,C1:C:C:C(CSC2:N:C3:C:C:C:N:C:3:[NH]:2):C:C:1
1004,CHEMBL62136,4.5,O=S(=O)(C1:C:C:C:C:C:1)N(CC(F)(F)F)C1:C:C:C(C(O)(C(F)(F)F)C(F)(F)F):C:C:1
1005,CHEMBL1087399,2.26,C[C@H](NC1:N:C(NC2:N:C:C(C#N):S:2):C:C(N2CCOCC2):N:1)C1:N:C:C(F):C:N:1
1006,CHEMBL640,-0.92,CCN(CC)CCNC(=O)C1:C:C:C(N):C:C:1
1007,CHEMBL373339,1.74,CC(C)OC1:C:C(OCCC2:C:C:S:C:2):C:C(C(=O)NC2:C:C:C(C(=O)O):C:N:2):C:1
1008,CHEMBL1995326,2.63,O=C(NC1:C:C:C(NC2:C:C:C(NC(=O)C3:C:C:C:C:C:3):C3:C:2C(=O)C2:C:C:C:C:C:2C3=O):C2:C:1C(=O)C1:C:C:C:C:C:1C2=O)C1:C:C:C:C:C:1
1009,CHEMBL184347,3.49,COC1:C:C:C(C(=O)NC2:C:C(NC(=O)C3:C:C:C:C(N(C)C):C:3):C:C:C:2Br):C:C:1OC
1010,CHEMBL441225,1.5,COC1:C:C:C:C:C:1CN[C@H]1CCCN[C@H]1C1:C:C:C:C:C:1
1011,CHEMBL1258166,0.07,NC(=O)C1:C:C:C:C(O[C@H]2C[C@@H]3CC[C@H](C2)N3CC2CC2):C:1
1012,CHEMBL113187,2.38,CC1:C:C(COC(=O)NC2:C:C:C(C3:C:C:C:C:C:3):N(CC(=O)NC(C(=O)C(F)(F)F)C(C)C):C:2=O):C:C(C):N:1
1013,CHEMBL73243,3.41,COCCCNS(=O)(=O)C1:C:C:C(NC2:N:C:C:C(C3:C:N:C4:C:C:C:C:N:3:4):N:2):C:C:1
1014,CHEMBL211456,-1.15,CN[C@@H](C)[C@H](O)C1:C:C:C:C:C:1
1015,CHEMBL2163586,3.75,N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCC3:[NH]:C4:C(C(F)(F)F):C:C:C:C:4:C:3C2)CC1
1016,CHEMBL2031164,0.6,O=C(N[C@@H](CC1:C:C:C(OCCNC2:N:C3:C:C:C:C:C:3:[NH]:2):C:C:1)C(=O)O)C1:C(Cl):C:C:C:C:1Cl
1017,CHEMBL406852,-0.58,COC1:N:C(N):N:C2:C:1:N:C:N:2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
1018,CHEMBL1172928,1.69,C[C@@H]1NC(C)(C)CO[C@@]1(O)C1:C:C:C:C(Cl):C:1
1019,CHEMBL1951893,2.67,CCN(C(=O)CC1:C:C:C(S(C)(=O)=O):C:C:1)C1CCN(CCC(C2:C:C:C:C:C:2)N2CCN(C3:C:C:C:C:C:3)CC2)CC1
1020,CHEMBL2164675,-0.1,CN1CCN(C(=O)[C@@H]2CCCC[C@H]2C(=O)NCC#N)CC1
1021,CHEMBL2326686,1.33,FC1:C:C:C(C2CC=CCNC2):C:C:1Cl
1022,CHEMBL1209655,3.36,O=S(=O)(NCC(C1:C:C:C:C:C:1)N1CCCCCC1)C1:C:C(Cl):C:C(Cl):C:1
1023,CHEMBL2325707,1.9,CN1CCC(C2:C:C(N3CCOCC3):N:C(C3:C:C:C:C4:[NH]:C:C:C:3:4):N:2)(S(C)(=O)=O)CC1
1024,CHEMBL188369,3.14,C[C@@H](NC(=O)C1:C:C:C:N:C:1OC1:C:C:C:C:C:1)C1:C:C:C:C:C:1
1025,CHEMBL2331749,2.12,CC1:C:N([C@H]2CCCN(S(=O)(=O)C3:C:C:C(O):C(OC4:C:C:C(Cl):C:C:4):C:3)C2):C(=O):[NH]:C:1=O
1026,CHEMBL1951916,1.93,CCN(C(=O)CC1:C:C:C(S(C)(=O)=O):C:C:1)C1CCN(CC[C@@H](C2:C:C(C):C:C(C):C:2)C2CCN(S(C)(=O)=O)CC2)CC1
1027,CHEMBL1950854,1.45,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCC2:C:C:C(OC):C:C:2)C1)C(C)(C)C
1028,CHEMBL47406,0.92,COC(=O)COC1:C:C:C(O):C:C:1
1029,CHEMBL403963,-0.4,C(=C/C1:N:N:[NH]:N:1)\C1:C:C:C:C:C:1
1030,CHEMBL669,2.83,CN(C)CCC=C1C2:C:C:C:C:C:2C=CC2:C:C:C:C:C:21
1031,CHEMBL109244,1.26,O=C(NCCCCCCNCCC1:C:C:C(O):C2:N:C(O):S:C:1:2)NC1:C:C:C:C:C:1
1032,CHEMBL345937,-1.1,CC1SC2:C(C(=O)O):C(=O):C3:C:C(F):C(N4CCNCC4):C:C:3:N:21
1033,CHEMBL2171040,0.89,COC1:C:C:C:C:C:1S(=O)(=O)NC(=O)N1CCC(N2CCC(OC3:C:C:C(Cl):C(Cl):C:3)CC2)CC1
1034,CHEMBL2104888,2.8,O=C(N[C@@H](CC1:C:C:C:C:C:1)[C@@H](O)C(=O)N1C[C@H](O)[C@H](O)C1)C1:C:C2:C:C(Cl):C:C:C:2:[NH]:1
1035,CHEMBL1077827,1.4,CCOC1:C:C:C(N2:C([C@@H](C)N(CC3CCN(C)CC3)C(=O)CC3:C:C:C(F):C(C(F)(F)F):C:3):N:C3:N:C:C:C:C:3:C:2=O):C:C:1
1036,CHEMBL300982,3.07,CC1(C)CC2:C(C3:C:C:C:C:C:3):C(C3:C:C:C(Cl):C:C:3):C(CC(=O)O):N:2C1
1037,CHEMBL219098,2.87,CC(C)CN1:C(=O):N(C):C(=O):C2:C(C(=O)N3CC[C@@H](O)C3):C(OC3:C:C:C:C4:C:C:C:C:C:3:4):S:C:2:1
1038,CHEMBL1824606,3.85,O=C(NC1:C:C:C:C:C:1)C1:C:C:C(OCCCN2CCCC2):C:C:1OCC1:C:C:C:C:C:1F
1039,CHEMBL1218,2.57,CCC(=O)NCC[C@@H]1CCC2:C:C:C3:C(:C:21)CCO3
