,Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles
204,Propetamphos,-2.826,1,281.314,1,0,7,56.790000000000006,-3.408,CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C
205,Acrolein,-0.184,1,56.06399999999999,0,0,1,17.07,0.57,C=CC=O
206,Hypoxanthine,-0.6559999999999999,1,136.114,2,2,0,74.43,-2.296,O=C1:[NH]:C:N:C2:N:C:[NH]:C:1:2
207,6-hydroxyquinoline,-2.725,1,145.161,1,2,0,33.120000000000005,-2.16,OC1:C:C:C2:N:C:C:C:C:2:C:1
208,Fluorobenzene,-2.514,1,96.10399999999998,0,1,0,0.0,-1.8,FC1:C:C:C:C:C:1
209,1-Chloropropane,-1.585,1,78.542,0,0,1,0.0,-1.47,CCCCl
210,Ethyl acetate,-0.77,1,88.10600000000001,0,0,1,26.3,-0.04,CCOC(C)=O
211,"2,2-Dimethylpentane",-2.938,1,100.20499999999998,0,0,1,0.0,-4.36,CCCC(C)(C)C
212,Pentamethylbenzene,-3.993,1,148.249,0,1,0,0.0,-4.0,CC1:C:C(C):C(C):C(C):C:1C
213,eucalyptol,-2.579,1,154.253,0,3,0,9.23,-1.64,CC12CCC(CC1)C(C)(C)O2
214,dibutyl sebacate,-4.726,1,314.46600000000007,0,0,15,52.60000000000001,-3.896,CCCCOC(=O)CCCCCCCCC(=O)OCCCC
215,"4,4'-PCB",-5.299,1,223.102,0,2,1,0.0,-6.56,ClC1:C:C:C(C2:C:C:C(Cl):C:C:2):C:C:1
216,"2,3-Dimethylpyridine",-2.067,1,107.156,0,1,0,12.89,0.38,CC1:C:C:C:N:C:1C
217,Carvone,-2.042,1,150.22099999999998,0,1,1,17.07,-2.06,C=C(C)C1CC=C(C)C(=O)C1
218,Carbophenthion,-5.8279999999999985,1,342.875,0,1,8,18.46,-5.7360000000000015,CCOP(=S)(OCC)SCSC1:C:C:C(Cl):C:C:1
219,"Etoposide (148-167,25mg/ml)",-3.292,1,588.5620000000001,3,7,5,160.83,-3.571,COC1:C:C(C2C3:C:C4:C(:C:C:3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4):C:C(OC):C:1O
220,Perylene,-6.0070000000000014,2,252.316,0,5,0,0.0,-8.804,C1:C:C2:C:C:C:C3:C4:C:C:C:C5:C:C:C:C(:C(:C:1):C:2:3):C:5:4
221,"2,4-Dinitrotoluene",-2.604,1,182.135,0,1,2,86.28,-2.82,CC1:C:C:C([N+](=O)[O-]):C:C:1[N+](=O)[O-]
222,2-bromonaphthalene,-4.434,1,207.07,0,2,0,0.0,-4.4,BrC1:C:C:C2:C:C:C:C:C:2:C:1
223,Formetanate,-1.846,1,221.26,1,1,3,53.93,-2.34,CNC(=O)OC1:C:C:C:C(N=CN(C)C):C:1
224,6-methoxypteridine,-1.589,1,162.15200000000004,0,2,1,60.790000000000006,-1.139,COC1:C:N:C2:N:C:N:C:C:2:N:1
225,nevirapine,-3.397,1,266.30400000000003,1,4,1,58.12000000000001,-3.19,CC1:C:C:N:C2:C:1NC(=O)C1:C:C:C:N:C:1N2C1CC1
226,Isazofos,-3.76,1,313.747,0,1,7,58.4,-3.658,CCOP(=S)(OCC)OC1:N:C(Cl):N(C(C)C):N:1
227,"2-Methyl-1,3-Butadiene ",-1.714,1,68.11900000000001,0,0,1,0.0,-2.03,C=CC(=C)C
228,linalool,-2.399,1,154.253,1,0,4,20.23,-1.99,C=CC(C)(O)CCC=C(C)C
229,Fenthion,-4.265,1,278.335,0,1,5,27.69,-4.57,COP(=S)(OC)OC1:C:C:C(SC):C(C):C:1
230,Cyclohexanol ,-1.261,1,100.161,1,1,0,20.23,-0.44,OC1CCCCC1
231,5-Allyl-5-methylbarbital,-1.013,1,182.179,2,1,2,75.27000000000002,-1.16,C=CCC1(C)C(=O)NC(=O)NC1=O
232,Epiandrosterone,-3.882,1,290.447,1,4,0,37.3,-4.16,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O
233,mannitol,0.647,1,182.172,6,0,5,121.38,0.06,OCC(O)C(O)C(O)C(O)CO
234,4-Methylbiphenyl,-4.424,1,168.239,0,2,1,0.0,-4.62,CC1:C:C:C(C2:C:C:C:C:C:2):C:C:1
235,Atrazine,-3.069,1,215.688,2,1,4,62.73,-3.85,CCNC1:N:C(Cl):N:C(NC(C)C):N:1
236,Phenylthiourea,-1.7009999999999998,1,152.22199999999995,2,1,1,38.05,-1.77,NC(=S)NC1:C:C:C:C:C:1
237,4-Heptanone,-1.62,1,114.188,0,0,4,17.07,-1.3,CCCC(=O)CCC
238,"3,3-Dimethyl-2-butanone",-1.25,1,100.161,0,0,0,17.07,-0.72,CC(=O)C(C)(C)C
239,4-Chlorophenol ,-2.761,1,128.558,1,1,0,20.23,-0.7,OC1:C:C:C(Cl):C:C:1
240,Cyclohexanone,-0.996,1,98.145,0,1,0,17.07,-0.6,O=C1CCCCC1
241,m-Methylaniline,-1.954,1,107.156,1,1,0,26.02,-0.85,CC1:C:C:C:C(N):C:1
242,Trichloroacetonitrile,-2.019,1,144.388,0,0,0,23.79,-2.168,N#CC(Cl)(Cl)Cl
243,norflurazon,-4.029,1,303.67100000000005,1,2,2,46.92,-4.046,CNC1:C:N:N(C2:C:C:C:C(C(F)(F)F):C:2):C(=O):C:1Cl
244,2-Decanone,-2.617,1,156.269,0,0,7,17.07,-3.3,CCCCCCCCC(C)=O
245,Ipazine,-3.497,1,243.742,1,1,5,53.94000000000001,-3.785,CCN(CC)C1:N:C(Cl):N:C(NC(C)C):N:1
246,Benzocaine,-2.383,1,165.19199999999995,1,1,2,52.32,-2.616,CCOC(=O)C1:C:C:C(N):C:C:1
247,"1,2,4-Trichlorobenzene",-4.083,1,181.449,0,1,0,0.0,-3.59,ClC1:C:C:C(Cl):C(Cl):C:1
248,Triazolam,-3.948,1,343.2170000000001,0,4,1,43.07,-4.09,CC1:N:N:C2:N:1C1:C:C:C(Cl):C:C:1C(C1:C:C:C:C:C:1Cl)=NC2
249,"1,2-Benzenediol",-1.635,1,110.11199999999998,2,1,0,40.46,0.62,OC1:C:C:C:C:C:1O
250,Reverse Transcriptase inhibitor 1,-2.794,1,254.293,0,3,1,49.33000000000001,-2.62,CCN1C2:N:C:C:C:C:2C(=O)N(C)C2:C:C:C:N:C:21
251,Dimethyl sulfide,-0.758,1,62.137,0,0,0,0.0,-0.45,CSC
252,2-Bromotoluene,-3.667,1,171.03699999999995,0,1,0,0.0,-2.23,CC1:C:C:C:C:C:1Br
253,O-Ethyl carbamate,-0.218,1,89.09400000000002,1,0,1,52.32,0.85,CCOC(N)=O
254,megestrol acetate,-4.417,1,384.51600000000013,0,4,2,60.44000000000001,-5.35,CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C
255,"2,4-Dimethyl-3-pentanol",-1.6469999999999998,1,116.20399999999998,1,0,2,20.23,-1.22,CC(C)C(O)C(C)C
256,Napthalene,-3.468,2,128.17399999999995,0,2,0,0.0,-3.6,C1:C:C:C2:C:C:C:C:C:2:C:1
257,N-Ethylaniline,-2.389,1,121.18299999999996,1,1,2,12.03,-1.7,CCNC1:C:C:C:C:C:1
258,Phenytoin,-3.057,1,252.273,2,3,2,58.2,-4.097,O=C1NC(=O)C(C2:C:C:C:C:C:2)(C2:C:C:C:C:C:2)N1
259,"7,12-Dimethylbenz(a)anthracene",-6.2970000000000015,1,256.348,0,4,0,0.0,-7.02,CC1:C2:C:C:C:C:C:2:C(C):C2:C:1:C:C:C1:C:C:C:C:C:1:2
260,Dialifor,-5.026,1,393.85400000000016,0,2,8,55.84,-6.34,CCOP(=S)(OCC)SC(CCl)N1C(=O)C2:C:C:C:C:C:2C1=O
261,Methoxychlor,-5.5379999999999985,1,345.65299999999985,0,2,4,18.46,-6.89,COC1:C:C:C(C(C2:C:C:C(OC):C:C:2)C(Cl)(Cl)Cl):C:C:1
262,TEFLUBENZURON,-5.4620000000000015,1,381.11200000000014,2,2,2,58.2,-7.28,O=C(NC(=O)C1:C(F):C:C:C:C:1F)NC1:C:C(Cl):C(F):C(Cl):C:1F
263,3-Pentanoyloxymethylphenytoin,-3.81,1,366.417,1,3,7,75.71,-4.678,CCCCC(=O)OCN1C(=O)NC(C2:C:C:C:C:C:2)(C2:C:C:C:C:C:2)C1=O
264,Monuron,-2.6710000000000003,1,198.653,1,1,1,32.34,-2.89,CN(C)C(=O)NC1:C:C:C(Cl):C:C:1
265,Flutriafol,-3.569,1,301.296,1,3,4,50.94,-3.37,OC(CN1:C:N:C:N:1)(C1:C:C:C(F):C:C:1)C1:C:C:C:C:C:1F
266,triamcinolone diacetate,-3.876,1,478.5130000000002,2,4,4,127.20000000000002,-4.13,CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
267,1-Bromobutane,-2.303,1,137.01999999999998,0,0,2,0.0,-2.37,CCCCBr
268,"1,2,4,5-Tetrabromobenzene",-6.001,1,393.698,0,1,0,0.0,-6.98,BrC1:C:C(Br):C(Br):C:C:1Br
269,4-Methyl-2-pentanone,-1.1840000000000002,1,100.161,0,0,2,17.07,-0.74,CC(=O)CC(C)C
270,cycloate,-3.35,1,215.36199999999997,0,1,3,20.31,-3.4,CCSC(=O)N(CC)C1CCCCC1
271,4-Chloroanisole,-3.057,1,142.585,0,1,1,9.23,-2.78,COC1:C:C:C(Cl):C:C:1
272,Deltamethrin,-7.44,1,505.20600000000013,0,3,6,59.32000000000001,-8.402000000000001,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)C1:C:C:C:C(OC2:C:C:C:C:C:2):C:1
273,Talbutal,-2.06,1,224.26,2,1,4,75.27000000000002,-2.016,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O
274,Fenitrothion,-3.845,1,277.238,0,1,5,70.83000000000001,-4.04,COP(=S)(OC)OC1:C:C:C([N+](=O)[O-]):C(C):C:1
275,1-Iodonapthalene,-4.8889999999999985,1,254.07,0,2,0,0.0,-4.55,IC1:C:C:C:C2:C:C:C:C:C:1:2
276,Sorbitol,0.647,1,182.172,6,0,5,121.38,1.09,OCC(O)C(O)C(O)C(O)CO
277,Ethanethiol,-0.968,1,62.137,1,0,0,0.0,-0.6,CCS
278,"1,1,2-Trichloroethane",-1.961,1,133.405,0,0,1,0.0,-1.48,ClCC(Cl)Cl
279,Pyrolan,-3.141,1,245.282,0,2,2,47.36000000000001,-2.09,CC1:C:C(OC(=O)N(C)C):N(C2:C:C:C:C:C:2):N:1
280,o-Hydroxybenzamide,-1.942,1,137.13799999999998,2,1,1,63.32000000000001,-1.82,NC(=O)C1:C:C:C:C:C:1O
281,o-Nitrotoluene,-2.589,1,137.138,0,1,1,43.14,-2.33,CC1:C:C:C:C:C:1[N+](=O)[O-]
282,"5,5-Diisopropylbarbital",-1.942,1,212.24900000000002,2,1,2,75.27000000000002,-2.766,CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O
283,2-Ethyltoluene,-3.2960000000000003,1,120.19499999999996,0,1,1,0.0,-3.21,CCC1:C:C:C:C:C:1C
284,1-Chloroheptane,-3.003,1,134.65,0,0,5,0.0,-4.0,CCCCCCCCl
285,Barbital,-1.265,1,184.195,2,1,2,75.27000000000002,-2.4,CCC1(CC)C(=O)NC(=O)NC1=O
286,Bibenzyl ,-4.301,2,182.266,0,2,3,0.0,-4.62,C1:C:C:C(CCC2:C:C:C:C:C:2):C:C:1
287,"1,1,2,2-Tetrachloroethane",-2.549,1,167.85,0,0,1,0.0,-1.74,ClC(Cl)C(Cl)Cl
288,RTI 23,-4.228,1,283.33099999999996,1,3,2,54.46,-5.153,CCN1C2:C:C(OC):C:C(C):C:2NC(=O)C2:C:C:C:N:C:21
289,2-Methylphenanthrene,-4.87,1,192.261,0,3,0,0.0,-5.84,CC1:C:C:C2:C(:C:C:C3:C:C:C:C:C:3:2):C:1
290,dibutylphthalate,-4.378,1,278.348,0,1,8,52.60000000000001,-4.4,CCCCOC(=O)C1:C:C:C:C:C:1C(=O)OCCCC
291,tetrachloroguaiacol,-4.299,1,261.91900000000004,1,1,1,29.46,-4.02,COC1:C(O):C(Cl):C(Cl):C(Cl):C:1Cl
292,Dimecron,-2.426,1,299.69099999999986,0,0,8,65.07000000000001,0.523,CCN(CC)C(=O)C(Cl)=CCOP(=O)(OC)OC
293,Equilin,-3.555,1,268.356,1,4,0,37.3,-5.282,CC12CCC3C(=CCC4:C:C(O):C:C:C:43)C1CCC2=O
294,Chlorimuron-ethyl (ph 7),-3.719,1,414.82700000000017,1,2,8,127.79,-4.5760000000000005,CCOC(=O)C1:C:C:C:C:C:1S(=O)(=O)NN(C=O)C1:N:C(Cl):C:C(OC):N:1
295,p-Nitroanisole,-2.522,1,153.13699999999997,0,1,2,52.37,-2.41,COC1:C:C:C([N+](=O)[O-]):C:C:1
296,1-Chlorohexane,-2.648,1,120.62299999999999,0,0,4,0.0,-3.12,CCCCCCCl
297,"2,2',3,3',4,4',5,5'-PCB",-8.468,1,429.77200000000016,0,2,1,0.0,-9.16,ClC1:C:C(C2:C:C(Cl):C(Cl):C(Cl):C:2Cl):C(Cl):C(Cl):C:1Cl
298,Raffinose,0.496,1,504.4380000000001,11,3,8,268.67999999999995,-0.41,OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O
299,hexacosane,-9.702,1,366.71800000000013,0,0,23,0.0,-8.334,CCCCCCCCCCCCCCCCCCCCCCCCCC
300,RTI 5,-3.471,1,253.30499999999995,0,3,1,36.44,-3.324,CCN1C2:C:C:C:C:C:2N(C)C(=O)C2:C:C:C:N:C:21
301,"1,1-Dichloroethane",-1.5759999999999998,1,98.96,0,0,0,0.0,-1.29,CC(Cl)Cl
302,Sulfanilamide,-0.954,1,172.20899999999997,2,1,1,86.18,-1.34,NC1:C:C:C(S(N)(=O)=O):C:C:1
303,Isopropalin,-5.306,1,309.3660000000001,0,1,8,89.51999999999998,-6.49,CCCN(CCC)C1:C([N+](=O)[O-]):C:C(C(C)C):C:C:1[N+](=O)[O-]
304,Lindane,-4.009,1,290.832,0,1,0,0.0,-4.64,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
305,Isofenphos,-4.538,1,345.4010000000002,1,1,8,56.790000000000006,-4.194,CCOP(=S)(NC(C)C)OC1:C:C:C:C:C:1C(=O)OC(C)C
306,"1,2,3-Trichlorobenzene",-4.008,1,181.449,0,1,0,0.0,-4.0,ClC1:C:C:C:C(Cl):C:1Cl
307,Tetrachloromethane,-2.607,1,153.82299999999998,0,0,0,0.0,-2.31,ClC(Cl)(Cl)Cl
308,"3,4-Dichloronitrobenzene",-3.448,1,192.00099999999998,0,1,1,43.14,-3.2,O=[N+]([O-])C1:C:C:C(Cl):C(Cl):C:1
309,Cyclooctanol,-2.14,1,128.215,1,1,0,20.23,-1.29,OC1CCCCCCC1
310,17a-Methyltestosterone,-4.073,1,302.45800000000014,1,4,0,37.3,-3.999,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O
311,Dulcin,-2.167,1,180.207,2,1,3,64.35,-2.17,CCOC1:C:C:C(NC(N)=O):C:C:1
312,"trans-1,4-Dimethylcyclohexane",-3.305,1,112.21600000000001,0,1,0,0.0,-4.47,CC1CCC(C)CC1
313,"1,7-phenantroline",-2.994,2,180.21,0,3,0,25.78,-2.68,C1:C:N:C2:C(:C:1):C:C:C1:N:C:C:C:C:1:2
314,Methyl t-butyl ether ,-0.984,1,88.14999999999998,0,0,0,9.23,-0.24,COC(C)(C)C
315,Anethole,-3.254,1,148.20499999999996,0,1,2,9.23,-3.13,CC=CC1:C:C:C(OC):C:C:1
316,1-Hexadecanol,-4.94,1,242.44699999999992,1,0,14,20.23,-7.0,CCCCCCCCCCCCCCCCO
317,uracil,-0.441,1,112.088,2,1,0,65.72,-1.4880000000000002,O=C1:C:C:[NH]:C(=O):[NH]:1
318,adenine,-1.255,1,135.13,2,2,0,80.47999999999998,-2.12,NC1:N:C:N:C2:N:C:[NH]:C:1:2
319,"2,2',3,4,5-PCB",-6.709,1,326.437,0,2,1,0.0,-7.21,ClC1:C:C(Cl):C(C2:C:C:C:C(Cl):C:2Cl):C:C:1Cl
320,Ancymidol,-2.181,1,256.30499999999995,1,3,4,55.24,-2.596,COC1:C:C:C(C(O)(C2:C:N:C:N:C:2)C2CC2):C:C:1
321,Benzo(b)fluoranthene,-6.0070000000000014,2,252.316,0,5,0,0.0,-8.23,C1:C:C:C2:C(:C:1)C1:C:C:C:C3:C:1:C2:C:C1:C:C:C:C:C:1:3
322,Carbanilide,-3.611,1,212.252,2,2,2,41.13,-3.15,O=C(NC1:C:C:C:C:C:1)NC1:C:C:C:C:C:1
323,phenobarbital,-2.272,1,232.239,2,2,2,75.27000000000002,-2.322,CCC1(C2:C:C:C:C:C:2)C(=O)NC(=O)NC1=O
324,"2',3,4-PCB",-5.686,1,257.547,0,2,1,0.0,-6.29,ClC1:C:C:C(C2:C:C:C:C(Cl):C:2Cl):C:C:1
325,Isoproturon,-2.867,1,206.28900000000002,1,1,2,32.34,-3.536,CC(C)C1:C:C:C(NC(=O)N(C)C):C:C:1
326,Azintamide,-2.231,1,259.762,0,1,5,46.09,-1.716,CCN(CC)C(=O)CSC1:C:C:C(Cl):N:N:1
327,"2,2-Dimethyl-1-butanol",-1.365,1,102.17699999999998,1,0,2,20.23,-1.04,CCC(C)(C)CO
328,Ethyl pentanoate,-1.899,1,130.18699999999998,0,0,4,26.3,-1.75,CCCOC(=O)CCC
329,"2,4,6-Trinitrotoluene",-2.6060000000000003,1,227.132,0,1,3,129.42000000000002,-3.22,CC1:C([N+](=O)[O-]):C:C([N+](=O)[O-]):C:C:1[N+](=O)[O-]
330,Bensulide,-4.99,1,397.52400000000006,1,1,10,64.63,-4.2,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1:C:C:C:C:C:1
331,Cycloheptane,-2.9160000000000004,2,98.189,0,1,0,0.0,-3.51,C1CCCCCC1
332,Propyl formate,-0.757,1,88.10599999999998,0,0,3,26.3,-0.49,CCCOC=O
333,2-Isopropyltoluene,-3.585,1,134.22199999999995,0,1,1,0.0,-3.76,CC1:C:C:C:C:C:1C(C)C
334,m-Chloroaniline,-2.392,1,127.574,1,1,0,26.02,-1.37,NC1:C:C:C:C(Cl):C:1
335,"2,4-Dimethylpentane",-2.938,1,100.20499999999998,0,0,2,0.0,-4.26,CC(C)CC(C)C
336,Dibenzofurane,-4.2010000000000005,2,168.195,0,3,0,13.14,-4.6,C1:C:C:C2:C(:C:1):O:C1:C:C:C:C:C:1:2
337,ethofumesate,-3.184,1,286.3490000000001,0,2,4,61.83000000000001,-3.42,CCOC1OC2:C:C:C(OS(C)(=O)=O):C:C:2C1(C)C
338,Fluometuron,-3.065,1,232.205,1,1,1,32.34,-3.43,CN(C)C(=O)NC1:C:C:C:C(C(F)(F)F):C:1
339,Acridine,-3.846,2,179.22199999999995,0,3,0,12.89,-3.67,C1:C:C:C2:N:C3:C:C:C:C:C:3:C:C:2:C:1
340,Cortisone,-2.893,1,360.45000000000016,2,4,2,91.67,-3.11,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO
341,glucose,0.501,1,180.15599999999998,5,1,1,110.38,0.74,OCC1OC(O)C(O)C(O)C1O
342,3-Methylphenol,-2.313,1,108.14,1,1,0,20.23,-0.68,CC1:C:C:C:C(O):C:1
343,Indapamide,-4.345,1,365.842,2,3,3,92.5,-3.5860000000000003,CC1CC2:C:C:C:C:C:2N1NC(=O)C1:C:C:C(Cl):C(S(N)(=O)=O):C:1
344,Lovastatin,-4.731,1,404.54700000000025,1,3,6,72.83,-6.005,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21
345,"1,4-Dinitrobenzene",-2.281,1,168.10799999999998,0,1,2,86.28,-3.39,O=[N+]([O-])C1:C:C:C([N+](=O)[O-]):C:C:1
346,Reposal,-2.781,1,262.309,2,3,2,75.27000000000002,-2.696,CCC1(C2=CCC3CCC2C3)C(=O)NC(=O)NC1=O
347,Ethyl decanoate,-3.671,1,200.322,0,0,9,26.3,-4.1,CCCCCCCCCC(=O)OCC
348,Fenuron,-1.847,1,164.208,1,1,1,32.34,-1.6,CN(C)C(=O)NC1:C:C:C:C:C:1
349,Ethyl propyl ether,-1.072,1,88.14999999999998,0,0,3,9.23,-0.66,CCCOCC
350,2-Propanol,-0.261,1,60.096,1,0,0,20.23,0.43,CC(C)O
351,2-Methylnapthalene,-3.802,1,142.201,0,2,0,0.0,-3.77,CC1:C:C:C2:C:C:C:C:C:2:C:1
352,Chlorodibromethane,-2.54,1,208.28,0,0,0,0.0,-1.9,ClC(Br)Br
353,Hexestrol,-4.854,1,270.372,2,2,5,40.46,-4.43,CCC(C1:C:C:C(O):C:C:1)C(CC)C1:C:C:C(O):C:C:1
354,Malathion,-3.391,1,330.3640000000001,0,0,9,71.06,-3.37,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC
355,Benzylchloride,-2.887,1,126.58599999999996,0,1,1,0.0,-2.39,ClCC1:C:C:C:C:C:1
356,t-Crotonaldehyde,-0.604,1,70.09100000000001,0,0,1,17.07,0.32,C/C=C/C=O
357,Chlorbromuron,-3.938,1,293.548,1,1,2,41.57,-3.924,CON(C)C(=O)NC1:C:C:C(Br):C(Cl):C:1
358,"9,10-Dimethylanthracene",-5.228,1,206.288,0,3,0,0.0,-6.57,CC1:C2:C:C:C:C:C:2:C(C):C2:C:C:C:C:C:1:2
359,Methyl hexanoate,-1.899,1,130.18699999999998,0,0,4,26.3,-1.87,CCCCCC(=O)OC
360,Dimefuron,-3.831,1,338.79500000000013,1,2,2,80.37,-4.328,CN(C)C(=O)NC1:C:C:C(N2:N:C(C(C)(C)C):O:C:2=O):C(Cl):C:1
361,p-Fluoroacetanilide,-2.181,1,153.156,1,1,1,29.1,-1.78,CC(=O)NC1:C:C:C(F):C:C:1
362,alachlor,-3.319,1,269.77199999999993,0,1,6,29.54,-3.26,CCC1:C:C:C:C(CC):C:1N(COC)C(=O)CCl
363,Cyclohexene,-2.16,2,82.146,0,1,0,0.0,-2.59,C1=CCCCC1
364,Hydrocortisone ,-3.159,1,362.4660000000002,3,4,2,94.83,-3.09,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
365,Pyrimidine,-0.884,2,80.08999999999997,0,1,0,25.78,1.1,C1:C:N:C:N:C:1
366,p-Chloronitrobenzene,-2.901,1,157.55599999999995,0,1,1,43.14,-2.92,O=[N+]([O-])C1:C:C:C(Cl):C:C:1
367,Methyl propionate,-0.836,1,88.10600000000001,0,0,1,26.3,-0.14,CCC(=O)OC
368,o-Chloronitrobenzene,-2.775,1,157.55599999999995,0,1,1,43.14,-2.55,O=[N+]([O-])C1:C:C:C:C:C:1Cl
369,Neburon,-4.157,1,275.17900000000003,1,1,4,32.34,-4.77,CCCCN(C)C(=O)NC1:C:C:C(Cl):C(Cl):C:1
370,Buthidazole,-2.398,1,256.331,1,2,1,69.56,-1.877,CN1CC(O)N(C2:N:N:C(C(C)(C)C):S:2)C1=O
371,Nitrobenzene,-2.2880000000000003,1,123.11099999999996,0,1,1,43.14,-1.8,O=[N+]([O-])C1:C:C:C:C:C:1
372,Iodobenzene,-3.8,1,204.01,0,1,0,0.0,-3.01,IC1:C:C:C:C:C:1
373,Metolazone,-3.777,1,365.84200000000016,2,3,2,92.5,-3.78,CC1:C:C:C:C:C:1N1C(=O)C2:C:C(S(N)(=O)=O):C(Cl):C:C:2NC1C
374,Methocarbamol,-1.4280000000000002,1,241.24299999999997,2,1,6,91.01,-0.985,COC1:C:C:C:C:C:1OCC(O)COC(N)=O
375,butachlor,-4.347,1,311.85300000000007,0,1,9,29.54,-4.19,CCCCOCN(C(=O)CCl)C1:C(CC):C:C:C:C:1CC
376,"2,3-Dichlorophenol",-3.144,1,163.003,1,1,0,20.23,-1.3,OC1:C:C:C:C(Cl):C:1Cl
377,Propyl butyrate,-1.1909999999999998,1,102.13299999999998,0,0,2,26.3,-1.92,CCCC(=O)OC
378,Propanil,-3.644,1,218.083,1,1,2,29.1,-3.0,CCC(=O)NC1:C:C:C(Cl):C(Cl):C:1
379,Triamterene,-3.051,1,253.26900000000003,3,3,1,129.62,-2.404,NC1:N:C(N):C2:N:C(C3:C:C:C:C:C:3):C(N):N:C:2:N:1
380,Ethyl hexanoate,-2.254,1,144.21399999999997,0,0,5,26.3,-2.35,CCCCCC(=O)OCC
381,chloralose,-1.887,1,309.529,3,2,2,88.38000000000002,-1.84,OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O
382,Amitraz,-5.533,1,293.4140000000001,0,2,4,27.96,-5.47,CC1:C:C:C(N=CN(C)C=NC2:C:C:C(C):C:C:2C):C(C):C:1
383,Prometon,-3.448,1,225.296,2,1,5,71.96000000000002,-2.478,COC1:N:C(NC(C)C):N:C(NC(C)C):N:1
384,1-Octene ,-3.073,1,112.21600000000001,0,0,5,0.0,-4.44,C=CCCCCCC
385,p-Methylaniline ,-1.954,1,107.156,1,1,0,26.02,-1.21,CC1:C:C:C(N):C:C:1
386,aminothiazole,-1.226,1,100.146,1,1,0,38.91,-0.36,NC1:N:C:C:S:1
387,Metolcarb,-1.947,1,151.165,1,1,1,38.33,-1.803,CNC(=O)OC1:C:C:C:C:C:1
388,3-Hexanol,-1.324,1,102.177,1,0,3,20.23,-0.8,CCCC(O)CC
389,9-anthrol,-4.148,1,194.233,1,3,0,20.23,-4.73,OC1:C2:C:C:C:C:C:2:C:C2:C:C:C:C:C:1:2
390,2-Methylanthracene,-4.87,1,192.261,0,3,0,0.0,-6.96,CC1:C:C:C2:C:C3:C:C:C:C:C:3:C:C:2:C:1
391,"1,2,3-Trimethylbenzene ",-3.312,1,120.195,0,1,0,0.0,-3.2,CC1:C:C:C:C(C):C:1C
392,Aminocarb,-2.677,1,208.261,1,1,2,41.57,-2.36,CNC(=O)OC1:C:C:C(N(C)C):C(C):C:1
393,2-Nonanol,-2.387,1,144.25799999999998,1,0,6,20.23,-2.74,CCCCCCCC(C)O
394,Methyldymron,-3.863,1,268.36,1,2,3,32.34,-3.35,CN(C(=O)NC(C)(C)C1:C:C:C:C:C:1)C1:C:C:C:C:C:1
395,3-Hexanone,-1.266,1,100.161,0,0,3,17.07,-0.83,CCCC(=O)CC
396,bromoxynil,-3.793,1,276.915,1,1,0,44.02,-3.33,N#CC1:C:C(Br):C(O):C(Br):C:1
397,"3,4-PCB",-5.223,1,223.102,0,2,1,0.0,-6.39,ClC1:C:C:C(C2:C:C:C:C:C:2):C:C:1Cl
398,Mefenacet,-4.504,1,298.367,0,3,4,42.43000000000001,-4.873,CN(C(=O)COC1:N:C2:C:C:C:C:C:2:S:1)C1:C:C:C:C:C:1
399,5-hydroxyquinoline,-2.725,1,145.161,1,2,0,33.120000000000005,-2.54,OC1:C:C:C:C2:N:C:C:C:C:1:2
400,Carboxin,-2.927,1,235.308,1,2,2,38.33,-3.14,CC1=C(C(=O)NC2:C:C:C:C:C:2)SCCO1
401,Ethoxyzolamide,-3.085,1,258.324,1,2,3,82.28,-3.81,CCOC1:C:C:C2:N:C(S(N)(=O)=O):S:C:2:C:1
402,Pentachlorophenol,-4.835,1,266.338,1,1,0,20.23,-4.28,OC1:C(Cl):C(Cl):C(Cl):C(Cl):C:1Cl
403,Bromochloromethane,-1.519,1,129.384,0,0,0,0.0,-0.89,ClCBr
